,time_tracking_id,phase_num,xy_pos_idx,cross_phase_tracking_id,area,bb_height,bb_width,bb_x_left,bb_y_top,cX,cY,perimeter,main_image_name,timepoint,time_in_seconds
51,phase_1_xy4_col38,1,4,phase_1_xy4_col38,1312.0,49.0,44.0,189.0,257.0,208.75533536585365,279.7439024390244,235.0365778207779,t09xy4,9.0,32400.0
52,phase_1_xy4_col20,1,4,phase_1_xy4_col20,2275.0,64.0,62.0,332.0,361.0,363.4632967032967,394.3582417582418,300.04877042770386,t09xy4,9.0,32400.0
53,phase_1_xy4_col39,1,4,phase_1_xy4_col39,1316.0,62.0,42.0,136.0,363.0,154.72036474164133,393.5098784194529,257.4213538169861,t09xy4,9.0,32400.0
54,phase_1_xy4_col54,1,4,phase_1_xy4_col54,61.0,8.0,12.0,216.0,402.0,221.0,405.5245901639344,28.97056245803833,t09xy4,9.0,32400.0
55,phase_1_xy4_col55,1,4,phase_1_xy4_col55,195.0,15.0,25.0,277.0,521.0,288.6820512820513,528.3384615384615,75.5979790687561,t09xy4,9.0,32400.0
56,phase_1_xy4_col5,1,4,phase_1_xy4_col5,682.0,41.0,41.0,279.0,538.0,297.59824046920824,553.6436950146627,193.82337474822998,t09xy4,9.0,32400.0
57,,1,4,,2570.0,71.0,80.0,181.0,44.0,220.42996108949416,78.82568093385214,515.1858534812927,t10xy4,10.0,36000.0
58,phase_1_xy4_col17,1,4,phase_1_xy4_col17,2628.0,72.0,73.0,25.0,109.0,61.75570776255708,146.44672754946728,509.0437180995941,t10xy4,10.0,36000.0
59,phase_1_xy4_col38,1,4,phase_1_xy4_col38,2521.0,59.0,73.0,173.0,252.0,208.54581515271718,280.840142800476,322.3919162750244,t10xy4,10.0,36000.0
60,phase_1_xy4_col39,1,4,phase_1_xy4_col39,2538.0,82.0,55.0,131.0,351.0,156.32466509062255,394.1221434200158,381.4041088819504,t10xy4,10.0,36000.0
61,phase_1_xy4_col20,1,4,phase_1_xy4_col20,3133.0,73.0,69.0,331.0,357.0,364.9569103096074,394.7890201085222,447.9310202598572,t10xy4,10.0,36000.0
62,phase_1_xy4_col54,1,4,phase_1_xy4_col54,62.0,8.0,11.0,216.0,401.0,221.11290322580646,404.0,28.97056245803833,t10xy4,10.0,36000.0
63,,1,4,,1667.0,60.0,58.0,271.0,520.0,296.4901019796041,547.6298740251949,361.88939011096954,t10xy4,10.0,36000.0
